Subject_ID,FINAL_QC
ABIDEII_KKI_1_29340,1
ABIDEII_KKI_1_29341,1
ABIDEII_KKI_1_29343,0.5
ABIDEII_KKI_1_29344,1
ABIDEII_KKI_1_29345,1
ABIDEII_KKI_1_29346,0.5
ABIDEII_KKI_1_29347,1
ABIDEII_KKI_1_29348,1
ABIDEII_KKI_1_29349,1
ABIDEII_KKI_1_29350,1
ABIDEII_KKI_1_29351,1
ABIDEII_KKI_1_29355,1
ABIDEII_KKI_1_29358,1
ABIDEII_KKI_1_29359,1
ABIDEII_KKI_1_29364,1
ABIDEII_KKI_1_29365,1
ABIDEII_KKI_1_29366,1
ABIDEII_KKI_1_29368,1
ABIDEII_KKI_1_29369,1
ABIDEII_KKI_1_29371,1
ABIDEII_KKI_1_29378,1
ABIDEII_KKI_1_29379,1
ABIDEII_KKI_1_29380,1
ABIDEII_KKI_1_29383,1
ABIDEII_KKI_1_29384,1
ABIDEII_KKI_1_29386,1
ABIDEII_KKI_1_29387,1
ABIDEII_KKI_1_29395,1
ABIDEII_KKI_1_29399,1
ABIDEII_KKI_1_29402,1
ABIDEII_KKI_1_29403,1
ABIDEII_KKI_1_29405,1
ABIDEII_KKI_1_29407,1
ABIDEII_KKI_1_29409,1
ABIDEII_KKI_1_29411,1
ABIDEII_KKI_1_29412,0.5
ABIDEII_KKI_1_29419,1
ABIDEII_KKI_1_29420,0
ABIDEII_KKI_1_29421,1
ABIDEII_KKI_1_29423,1
ABIDEII_KKI_1_29425,1
ABIDEII_KKI_1_29427,0.5
ABIDEII_KKI_1_29428,1
ABIDEII_KKI_1_29429,1
ABIDEII_KKI_1_29432,1
ABIDEII_KKI_1_29435,0.5
ABIDEII_KKI_1_29437,1
ABIDEII_KKI_1_29438,1
ABIDEII_KKI_1_29439,0.5
ABIDEII_KKI_1_29440,1
ABIDEII_KKI_1_29441,0.5
ABIDEII_KKI_1_29442,1
ABIDEII_KKI_1_29443,1
ABIDEII_KKI_1_29444,1
ABIDEII_KKI_1_29445,1
ABIDEII_KKI_1_29449,1
ABIDEII_KKI_1_29451,0.5
ABIDEII_KKI_1_29453,1
ABIDEII_KKI_1_29454,1
ABIDEII_KKI_1_29455,1
ABIDEII_KKI_1_29457,1
ABIDEII_KKI_1_29459,1
ABIDEII_KKI_1_29460,1
ABIDEII_KKI_1_29462,1
ABIDEII_KKI_1_29463,1
ABIDEII_KKI_1_29464,1
ABIDEII_KKI_1_29465,1
ABIDEII_KKI_1_29467,1
ABIDEII_KKI_1_29470,1
ABIDEII_KKI_1_29471,1
ABIDEII_KKI_1_29472,1
ABIDEII_KKI_1_29473,1
ABIDEII_KKI_1_29474,1
ABIDEII_KKI_1_29475,0.5
ABIDEII_KKI_1_29476,1
ABIDEII_KKI_1_29477,1
ABIDEII_KKI_1_29478,1
ABIDEII_KKI_1_29482,1
ABIDEII_KKI_1_29483,1
ABIDEII_KKI_1_29484,1
ABIDEII_KKI_1_29485,1
ABIDEII_NYU_1_29181,0.5
ABIDEII_NYU_1_29182,1
ABIDEII_NYU_1_29183,0
ABIDEII_NYU_1_29185,1
ABIDEII_NYU_1_29186,1
ABIDEII_NYU_1_29187,0.5
ABIDEII_NYU_1_29189,0
ABIDEII_NYU_1_29190,0.5
ABIDEII_NYU_1_29191,1
ABIDEII_NYU_1_29192,1
ABIDEII_NYU_1_29194,1
ABIDEII_NYU_1_29196,1
ABIDEII_NYU_1_29197,1
ABIDEII_NYU_1_29198,1
ABIDEII_NYU_1_29200,1
ABIDEII_NYU_1_29201,0.5
ABIDEII_NYU_1_29202,1
ABIDEII_NYU_1_29203,0
ABIDEII_NYU_1_29204,0.5
ABIDEII_NYU_1_29205,1
ABIDEII_NYU_1_29206,1
ABIDEII_NYU_1_29210,1
ABIDEII_NYU_1_29211,1
ABIDEII_NYU_1_29212,1
ABIDEII_NYU_1_29213,1
ABIDEII_NYU_1_29214,1
ABIDEII_NYU_1_29215,0.5
ABIDEII_NYU_1_29217,0.5
ABIDEII_NYU_1_29218,1
ABIDEII_NYU_1_29220,0.5
ABIDEII_NYU_1_29221,1
ABIDEII_NYU_1_29222,0
ABIDEII_NYU_1_29226,1
ABIDEII_NYU_1_29227,0.5
ABIDEII_NYU_1_29230,0.5
ABIDEII_NYU_1_29233,1
ABIDEII_NYU_1_29235,1
ABIDEII_NYU_1_29237,0.5
ABIDEII_NYU_1_29238,1
ABIDEII_NYU_1_29239,1
ABIDEII_NYU_1_29240,1
ABIDEII_NYU_1_29242,1
ABIDEII_NYU_1_29243,1
ABIDEII_NYU_1_29244,1
ABIDEII_NYU_1_29246,0.5
ABIDEII_NYU_1_29248,0
ABIDEII_NYU_1_29250,1
ABIDEII_NYU_1_29251,1
ABIDEII_NYU_1_29252,1
ABIDEII_NYU_2_29154,1
ABIDEII_NYU_2_29168,1
ABIDEII_NYU_2_29169,0.5
